1796	2336	0.59
1952	2544	0.41
1918	2177	0.61
1085	2996	0.10
1875	2103	0.20
1922	2515	0.09
1240	2943	0.53
1995	2442	0.76
1783	2991	0.15
1944	2236	0.58
1121	2543	0.45
1772	2960	0.95
1411	2816	0.24
1246	2605	0.70
1942	2367	0.30
1870	2082	0.99
1560	2110	0.72
1175	2816	0.58
1697	2752	0.27
1373	2762	0.98
1548	2863	0.51
1604	2959	1.00
1227	2003	0.52
1365	2735	0.32
1377	2160	0.24
1791	2367	0.59
1179	2566	0.92
1175	2534	0.08
1978	2886	0.17
1415	2157	0.27
1641	2228	0.07
1884	2996	0.34
1945	2472	0.20
1066	2935	0.54
1173	2782	0.51
1001	2266	0.33
1887	2544	0.09
1154	2735	0.16
1978	2093	0.24
1365	2898	0.17
1896	2336	0.71
1828	2147	0.11
1592	2395	0.80
1166	2544	0.11
1548	2266	0.23
1173	2581	0.47
1845	2221	0.15
1570	2517	0.32
1911	2366	0.84
1077	2979	0.53
1509	2799	0.14
1772	2486	0.44
1769	2147	0.15
1560	2886	0.82
1945	2379	0.73
1828	2827	0.98
1718	2256	0.47
1828	2638	0.53
1471	2307	0.96
1001	2465	0.91
1441	2717	0.72
1062	2486	0.34
1202	2732	0.14
1390	2266	0.22
1365	2366	0.83
1358	2142	0.40
1140	2863	0.91
1280	2157	0.99
1358	2782	0.03
1411	2416	0.42
1857	2482	0.44
1062	2943	0.43
1864	2052	0.00
1744	2799	0.44
1827	2826	0.46
1066	2909	0.97
1246	2004	0.20
1968	2159	0.65
1141	2147	0.33
1772	2638	0.87
1066	2690	0.90
1893	2731	0.90
1845	2756	0.14
1396	2700	0.25
1043	2182	0.19
1800	2598	0.48
1227	2416	0.51
1358	2928	1.00
1338	2221	0.82
1391	2236	0.73
1592	2408	0.06
1848	2820	0.82
1826	2142	0.04
1509	2836	0.78
1772	2212	0.41
1857	2450	0.94
1358	2142	0.93
1510	2830	0.43
1227	2395	0.30
1802	2147	0.03
1978	2726	0.79
1918	2614	0.73
1802	2726	0.79
1341	2726	0.51
1241	2080	0.72
1459	2147	0.95
1325	2731	0.48
1053	2308	0.61
1769	2859	0.68
