1073	2799	0.34
1630	2442	0.35
1138	2306	0.10
1625	2909	0.37
1671	2514	0.94
1241	2577	0.93
1453	2336	0.94
1656	2072	0.92
1415	2725	0.52
1802	2177	0.22
1857	2160	0.70
1377	2979	0.60
1893	2717	0.03
1564	2776	0.09
1697	2515	0.62
1053	2110	0.19
1758	2826	0.12
1390	2996	0.59
1592	2668	0.30
1564	2155	0.52
1441	2760	0.44
1246	2069	0.01
1227	2830	0.08
1621	2991	0.65
1630	2630	0.64
1415	2335	0.22
1628	2782	0.75
1884	2486	0.98
1564	2143	0.39
1641	2534	0.91
1757	2960	0.58
1089	2684	0.49
1769	2148	0.22
1302	2741	0.29
1062	2011	0.21
1621	2409	0.14
1683	2082	0.45
1173	2305	0.69
1365	2080	0.16
1043	2080	1.00
1085	2155	0.03
1796	2960	0.91
1729	2553	0.52
1699	2776	0.40
1133	2208	0.76
1280	2867	0.12
1222	2196	0.89
1121	2358	0.99
1073	2782	0.45
1768	2367	0.30
1978	2538	0.03
1621	2534	0.69
1029	2898	0.41
1302	2929	0.10
1564	2741	0.56
1911	2799	0.12
1062	2486	0.98
1828	2812	0.73
1140	2465	0.99
1683	2408	0.78
1446	2534	0.74
1179	2812	0.15
1896	2638	0.11
1625	2072	0.44
1341	2515	0.40
1796	2175	0.29
1922	2935	0.25
1194	2863	0.35
1828	2570	0.49
1870	2395	0.86
1893	2148	0.56
1459	2605	0.19
1768	2472	0.23
1772	2486	0.94
1922	2257	0.11
1827	2543	0.99
1729	2263	0.00
1558	2082	0.61
1118	2228	0.61
1408	2859	0.18
1772	2827	0.22
1944	2043	0.53
1023	2366	0.44
1053	2577	0.98
1302	2409	0.62
1729	2171	0.19
1946	2732	0.40
1862	2212	0.33
1459	2810	0.47
1321	2979	0.37
1085	2630	0.41
1015	2093	0.12
1506	2627	0.64
1995	2761	0.68
1550	2799	0.37
1621	2996	0.33
1029	2416	0.17
1758	2577	0.86
1697	2196	0.96
1729	2991	0.74
1450	2037	0.99
1446	2553	0.08
1444	2630	0.16
1154	2534	0.46
1528	2886	0.38
1758	2830	0.34
1845	2004	0.48
1280	2979	0.74
1625	2544	0.57
1396	2928	0.97
1827	2598	0.35
1621	2979	0.18
